Fips,region,value
1000,alabama,199440
2000,alaska,57080
4000,arizona,284156
5000,arkansas,121395
6000,california,2311616
8000,colorado,306663
9000,connecticut,253036
10000,delaware,62756
11000,district of columbia,115473
12000,florida,839944
13000,georgia,476483
15000,hawaii,77389
16000,idaho,63952
17000,illinois,745875
18000,indiana,317840
19000,iowa,170613
20000,kansas,147075
21000,kentucky,188602
22000,louisiana,251397
23000,maine,55838
24000,maryland,348631
25000,massachusetts,459937
26000,michigan,451516
27000,minnesota,316204
28000,mississippi,104851
29000,missouri,284462
30000,montana,44269
31000,nebraska,112159
32000,nevada,132064
33000,new hampshire,71552
34000,new jersey,549099
35000,new mexico,92959
36000,new york,1404518
37000,north carolina,483126
38000,north dakota,55136
39000,ohio,583261
40000,oklahoma,183501
41000,oregon,215677
42000,pennsylvania,662890
44000,rhode island,54960
45000,south carolina,190304
46000,south dakota,45867
47000,tennessee,300604
48000,texas,1648036
49000,utah,141410
50000,vermont,29613
51000,virginia,463613
53000,washington,427052
54000,west virginia,75337
55000,wisconsin,292891
56000,wyoming,44190
