region,value
1001,11952
1003,73915
1005,8882
1007,4596
1009,9367
1011,3197
1013,7471
1015,47333
1017,8914
1019,5585
1021,10284
1023,3820
1025,8955
1027,4174
1029,2562
1031,16646
1033,25650
1035,3887
1037,1477
1039,13369
1041,4170
1043,30084
1045,21613
1047,14209
1049,22805
1051,21153
1053,13904
1055,38370
1057,4344
1059,11098
1061,5589
1063,1949
1065,3083
1067,3817
1069,50441
1071,17563
1073,371000
1075,3655
1077,31900
1079,5378
1081,61314
1083,25234
1085,2644
1087,5464
1089,203100
1091,7559
1093,10376
1095,37447
1097,183890
1099,6800
1101,142550
1103,50068
1105,2617
1107,4121
1109,15123
1111,5421
1113,14804
1115,20732
1117,93396
1119,3590
1121,31682
1123,14635
1125,100308
1127,19963
1129,3958
1131,3146
1133,7817
2013,2355
2016,3821
2020,172155
2050,7276
2060,1037
2068,2160
2070,2623
2090,48016
2100,1026
2105,789
2110,18651
2122,21191
2130,7836
2150,7585
2164,831
2170,24476
2180,4049
2185,16268
2188,2958
2195,1393
2198,2178
2220,4753
2230,858
2240,2728
2261,5064
2270,0
2275,904
2282,288
2290,2123
4001,18680
4003,40097
4005,66370
4007,15464
4009,9515
4011,4679
4012,6198
4013,1911950
4015,49140
4017,28598
4019,387999
4021,61206
4023,14328
4025,62438
4027,71449
5001,10989
5003,7634
5005,15774
5007,119816
5009,14978
5011,4022
5013,2551
5015,11270
5017,3683
5019,10243
5021,3973
5023,7312
5025,1114
5027,9246
5029,7785
5031,51757
5033,20821
5035,18886
5037,5583
5039,2956
5041,5053
5043,7019
5045,45430
5047,4969
5049,2133
5051,39054
5053,4309
5055,16671
5057,8335
5059,9541
5061,7502
5063,16056
5065,3543
5067,5967
5069,31298
5071,9131
5073,1432
5075,4613
5077,2343
5079,3288
5081,3832
5083,6069
5085,15310
5087,3615
5089,4084
5091,14469
5093,19331
5095,2478
5097,1692
5099,2627
5101,1283
5103,7999
5105,1467
5107,6566
5109,2711
5111,5836
5113,6427
5115,29615
5117,1853
5119,272544
5121,4826
5123,8727
5125,25211
5127,3293
5129,1778
5131,70415
5133,5374
5135,4176
5137,2813
5139,19865
5141,4315
5143,110637
5145,27193
5147,2116
5149,6937
6001,784853
6003,1168
6005,12279
6007,84389
6009,9300
6011,9272
6013,374282
6015,8379
6017,55449
6019,386170
6021,9293
6023,50436
6025,67404
6027,8016
6029,330577
6031,52554
6033,16680
6035,10622
6037,4581775
6039,48244
6041,121978
6043,5608
6045,33355
6047,80282
6049,2654
6051,7241
6053,198380
6055,78909
6057,31962
6059,1629958
6061,158913
6063,6391
6065,706106
6067,669576
6069,16665
6071,752573
6073,1564926
6075,720955
6077,245393
6079,121837
6081,410446
6083,209641
6085,1084773
6087,107851
6089,67598
6091,625
6093,13979
6095,145704
6097,210253
6099,189021
6101,30275
6103,17976
6105,2860
6107,163005
6109,18106
6111,338253
6113,110161
6115,21522
8001,205833
8003,8552
8005,336718
8007,4170
8009,1358
8011,1244
8013,187111
8014,37595
8015,7675
8017,838
8019,3168
8021,1618
8023,879
8025,1161
8027,961
8029,8752
8031,506584
8033,818
8035,119880
8037,32684
8039,3879
8041,307037
8043,14029
8045,27269
8047,5130
8049,7650
8051,8674
8053,303
8055,1808
8057,547
8059,242270
8061,583
8063,3271
8065,2473
8067,27112
8069,159285
8071,5412
8073,2339
8075,9130
8077,63593
8079,556
8081,5087
8083,9479
8085,15011
8087,12580
8089,6564
8091,1794
8093,2563
8095,1802
8097,16732
8099,4742
8101,62714
8103,3183
8105,4154
8107,14887
8109,1929
8111,300
8113,5378
8115,927
8117,21411
8119,7421
8121,1460
8123,107947
8125,4455
9001,456332
9003,539154
9005,64936
9007,72461
9009,387530
9011,133752
9013,45489
9015,41743
10001,72188
10003,307414
10005,79848
11001,777160
12001,136889
12003,7497
12005,84735
12007,6845
12009,209927
12011,825022
12013,3030
12015,48124
12017,34298
12019,51118
12021,144902
12023,25267
12027,10201
12029,2782
12031,523580
12033,145874
12035,22988
12037,3590
12039,13065
12041,3426
12043,2173
12045,3883
12047,3371
12049,8243
12051,14551
12053,42536
12055,30038
12057,700643
12059,3667
12061,52966
12063,15077
12065,2651
12067,1557
12069,95414
12071,257665
12073,154349
12075,9378
12077,1969
12079,4602
12081,123356
12083,103853
12085,67634
12086,1174925
12087,44174
12089,21543
12091,100541
12093,11841
12095,810880
12097,90895
12099,619058
12101,116901
12103,438301
12105,220730
12107,17243
12109,71305
12111,76951
12113,38775
12115,171892
12117,188026
12119,28574
12121,11954
12123,7071
12125,3757
12127,172483
12129,5638
12131,24795
12133,5968
13001,7347
13003,2194
13005,4340
13007,623
13009,16977
13011,3831
13013,19185
13015,36820
13017,6102
13019,3859
13021,90220
13023,2965
13025,2292
13027,3415
13029,8063
13031,27748
13033,10318
13035,6446
13037,1224
13039,18684
13043,3076
13045,43433
13047,15390
13049,2293
13051,162409
13053,20165
13055,6668
13057,58576
13059,76490
13061,577
13063,124957
13065,2443
13067,362581
13069,17324
13071,15139
13073,34314
13075,4116
13077,40194
13079,1523
13081,8927
13083,3681
13085,8374
13087,8926
13089,320768
13091,5439
13093,3715
13095,50426
13097,42983
13099,4746
13101,606
13103,10420
13105,5961
13107,7224
13109,4693
13111,6339
13113,43706
13115,41130
13117,75267
13119,8203
13121,864792
13123,7872
13125,458
13127,39170
13129,20932
13131,6551
13133,5982
13135,366174
13137,15531
13139,85498
13141,1718
13143,6759
13145,5220
13147,6933
13149,2281
13151,58511
13153,63907
13155,2185
13157,23784
13159,2265
13161,4829
13163,4870
13165,1581
13167,1781
13169,4954
13171,3906
13173,1523
13175,18861
13177,6335
13179,35363
13181,1456
13183,1112
13185,56310
13187,8062
13189,7152
13191,2153
13193,3064
13195,3504
13197,1359
13199,5123
13201,1884
13205,8113
13207,8081
13209,1793
13211,7224
13213,10537
13215,105103
13217,24817
13219,10974
13221,1880
13223,24261
13225,9624
13227,7922
13229,4587
13231,3062
13233,12086
13235,3240
13237,5723
13239,417
13241,5087
13243,2039
13245,126055
13247,34679
13249,1079
13251,3577
13253,2528
13255,23500
13257,9712
13259,1305
13261,11672
13263,836
13265,253
13267,6315
13269,1789
13271,3792
13273,2632
13275,21938
13277,20365
13279,12825
13281,3484
13283,1262
13285,41004
13287,2391
13289,1216
13291,7327
13293,7290
13295,13764
13297,22358
13299,16499
13301,1620
13303,7426
13305,8738
13307,559
13309,1309
13311,7636
13313,59728
13315,1437
13317,3232
13319,3361
13321,3841
15001,71984
15003,534107
15005,32169
15007,77470
15009,230742
16001,1266
16003,36267
16005,1832
16007,3734
16009,15122
16011,13169
16013,1547
16015,13986
16017,49752
16019,3702
16021,7629
16023,409
16025,61901
16027,3438
16029,11318
16031,423
16033,2985
16035,1534
16037,10164
16039,3745
16041,3181
16043,3846
16045,6358
16047,4633
16049,6655
16051,9357
16053,59446
16055,15985
16057,2528
16059,1763
16061,1675
16063,15903
